template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-24,2025-01-25T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0003160000196658075,199.7110076,7,8,1
2025-01-25,2025-01-25T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027866299991728738,24670.354297340997,577,865,144
2025-01-25,2025-01-25T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.018943400005809963,15099.555797278106,655,764,109
2025-01-25,2025-01-25T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01634349999949336,12622.00183038499,439,512,73
2025-01-25,2025-01-25T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008703200001036748,5609.645503018332,223,260,37
2025-01-25,2025-01-26T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024210000992752612,282.9999333333333,7,8,1
2025-01-26,2025-01-26T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014381299988599494,65732.57956851227,577,865,144
2025-01-26,2025-01-26T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.063115100027062,50757.346081627606,655,764,109
2025-01-26,2025-01-26T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.020615399989765137,37069.00628481464,439,512,73
2025-01-26,2025-01-26T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008270599995739758,13740.415374757002,223,260,37
2025-01-26,2025-01-27T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00021979998564347625,270.9393328,7,8,1
2025-01-27,2025-01-27T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025482600001851097,58774.44256102357,577,865,144
2025-01-27,2025-01-27T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.037608500017086044,47200.136564984736,655,764,109
2025-01-27,2025-01-27T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.017573999997694045,33441.28845205957,439,512,73
2025-01-27,2025-01-27T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008546899975044653,13640.996345466332,223,260,37
2025-01-27,2025-01-28T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00031960001797415316,274.8453162666666,7,8,1
2025-01-28,2025-01-28T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.037873499997658655,61871.09092060357,577,865,144
2025-01-28,2025-01-28T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.038950600021053106,47765.363901537996,655,764,109
2025-01-28,2025-01-28T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.039743200002703816,33764.911253854414,439,512,73
2025-01-28,2025-01-28T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008699699974386021,13380.112708308334,223,260,37
2025-01-28,2025-01-29T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00022369998623616993,261.8233283999999,7,8,1
2025-01-29,2025-01-29T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027820799994515255,57253.23702426428,577,865,144
2025-01-29,2025-01-29T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013124899996910244,46680.928886571935,655,764,109
2025-01-29,2025-01-29T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016547499981243163,32240.81168483242,439,512,73
2025-01-29,2025-01-29T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008464999991701916,13954.053429271999,223,260,37
2025-01-29,2025-01-30T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024360002134926617,264.8562951999999,7,8,1
2025-01-30,2025-01-30T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02202830000896938,57816.63824167175,577,865,144
2025-01-30,2025-01-30T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05968769997707568,47354.90812241926,655,764,109
2025-01-30,2025-01-30T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.011045499995816499,33622.712439900664,439,512,73
