template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-20,2025-01-20T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.04646660000435077,864.6162145874936
2025-01-20,2025-01-20T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.017196400003740564,0.0
2025-01-20,2025-01-21T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002379999787081033,0.0
2025-01-21,2025-01-21T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-21,2025-01-21T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.029804599995259196,0.0
2025-01-21,2025-01-21T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.02338430000236258,638.7153906877085
2025-01-21,2025-01-21T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.01004970000940375,0.0
2025-01-21,2025-01-22T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.000221800000872463,0.0
2025-01-22,2025-01-22T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-22,2025-01-22T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.05699139999342151,630.6979792151957
2025-01-22,2025-01-22T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.03163350000977516,188.0344948735861
2025-01-22,2025-01-22T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009850000002188608,0.0
2025-01-22,2025-01-23T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002339000056963414,0.0
2025-01-23,2025-01-23T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-23,2025-01-23T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03609660000074655,1948.1706720741718
2025-01-23,2025-01-23T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.030490500008454546,1013.0583378735074
2025-01-23,2025-01-23T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.01072529997327365,0.0
2025-01-23,2025-01-24T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003701999958138913,0.0
2025-01-24,2025-01-24T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-24,2025-01-24T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.04174519999651238,365.35458384697495
2025-01-24,2025-01-24T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.022584699996514246,1741.9759286565445
2025-01-24,2025-01-24T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009939499985193834,0.0
2025-01-24,2025-01-25T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003157000173814595,0.0
2025-01-25,2025-01-25T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-25,2025-01-25T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.034625799977220595,3126.7762958438925
2025-01-25,2025-01-25T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.01983579999068752,1748.4756256453672
2025-01-25,2025-01-25T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009726899996167049,0.0
2025-01-25,2025-01-26T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00025949999690055847,0.0
2025-01-26,2025-01-26T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-26,2025-01-26T06:00:00,update_0600,36,109,OPTIMAL,Optimal,6.828199816551244e-14,0.020794999989448115,24.71425914250079
2025-01-26,2025-01-26T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.03243780002230778,41.50796359749995
2025-01-26,2025-01-26T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009698099980596453,0.0
