template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-06-09,0,72708.14798827367,65063.14779050366,7645.000197770016,77491.79165666667,1504.39425666667,8063.473513333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-10,0,71596.11894103432,70125.07573319932,1471.0432078350018,83141.11785666666,326.82323333333386,11849.496289999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-11,0,77447.60848531633,71595.59055446467,5852.017930851667,84800.73068666665,1151.2090200000002,9867.493606666658,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-12,0,76409.70240083066,75419.145378754,990.5570220766688,88392.46913999997,201.2727100000006,16141.351249999989,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-13,0,32609.925671845995,32311.33995267933,298.5857191666661,48920.238823333326,61.89088666666658,20636.816009999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-14,0,33279.07996672866,33187.209037652,91.87092907666732,49755.394969999994,21.828206666666915,23583.87977666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-15,0,71994.87660387065,70078.27516755732,1916.601436313336,83850.84156666666,352.915123333334,13576.782289999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-16,0,73101.91902575234,70336.572281759,2765.3467439933384,83105.58940666667,676.6165433333347,11088.152849999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-17,0,75770.10473946833,71481.67766313166,4288.4270763366685,84515.15544333332,788.8133466666668,10666.957389999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-18,0,73605.94641098633,73561.71781144134,44.228599544999454,87074.13558333332,10.897769999999866,16156.641553333326,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-19,0,71057.36253547334,69815.12168926166,1242.2408462116719,83216.34809999999,327.76351666666795,15284.60681666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-20,0,30962.00109501033,30943.338621007,18.662474003333344,47110.32691999999,9.998646666666673,24719.744766666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-21,0,31159.996204613,30943.36902880133,216.62717581166663,47439.11153333333,74.47728000000006,28178.84851333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-22,0,69840.51267042433,65776.10307039766,4064.409600026668,78645.48055333333,818.4100766666671,12006.549429999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-23,0,68188.83741057332,67001.37319669333,1187.4642138800034,80335.71088999999,327.57841333333437,13602.003203333326,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-24,0,83244.885085734,68234.15232398566,15010.732761748342,80024.44871999999,3091.2735666666686,6846.929586666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-25,0,73992.14811969466,73922.36869248966,69.77942720500022,87973.66793,22.936120000000113,17559.18254999999,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
