period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-28,37264.19243727367,13855.356968106997,11222.839144166668,283.20113333333336,13137.949646666664,21394.349397996208,974.6356608799993,22368.985058876206,1200.0,1200.0,988.4299999999998,1340.8934999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-29,46136.42604666666,0.0,0.0,24385.54408666667,1254.2003333333334,34207.889060227666,107772.46929842833,141980.358358656,6000.0,6000.0,3728.8466000000003,2342.6018999999997
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-29,38082.23734613169,14179.489032304526,11485.386116166665,33887.741003339506,8.10563333333323,21736.854608132177,138052.9898477618,159789.844455894,1200.0,1200.0,3728.8466000000003,2342.6018999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-30,82314.93116,0.0,0.0,393.18347666666716,12830.430336666668,65055.336375616,1619.8185761533352,66675.15495176933,6000.0,6000.0,813.2800000000002,1658.25
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-30,86527.91503886666,23399.608379999998,18953.682787799997,625.7319900000003,12830.037136666668,54027.97483079434,2694.968650035001,56722.94348082934,1200.0,1200.0,813.2800000000002,1658.25
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-01,82635.14262666667,0.0,0.0,4749.716310000002,8518.313536666667,65704.38204253133,16867.49126445167,82571.873306983,6000.0,6000.0,1323.8449999999993,1708.8547000000008
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-01,87007.05426189299,23241.220448559667,18825.388563333334,4758.438660000002,8483.115636666666,54722.78560025917,16888.54265617667,71611.32825643584,1200.0,1200.0,1323.8449999999993,1708.8547000000008
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-02,92534.99302,0.0,0.0,121.09083000000005,19751.31785,72805.20414120599,371.51089603999975,73176.71503724599,6000.0,6000.0,780.2487000000001,1291.875
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-02,96853.37563078188,23618.38267078189,19130.889963333335,121.09083000000005,19582.207753333336,61726.28473896596,371.51089603999975,62097.79563500596,1200.0,1200.0,780.2487000000001,1291.875
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-03,87066.20455666666,0.0,0.0,1560.0360499999992,8865.821406666662,68102.73139715465,7289.0155839266645,75391.74698108132,6000.0,6000.0,1185.1599999999999,1389.4125000000004
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-03,90403.02480813333,22354.923919999997,18107.488375200002,1786.9036099999996,8182.073673333331,57104.39038029265,7831.231078236664,64935.62145852931,1200.0,1200.0,1185.1599999999999,1389.4125000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-04,93955.96175333334,0.0,0.0,0.0,65075.093453333335,74166.63906967167,0.0,74166.63906967167,6000.0,6000.0,3758.71,2306.8288999999995
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-04,98337.8268271708,24411.134143004114,19773.01865583333,0.0,64818.84303999999,62968.52211746291,0.0,62968.52211746291,1200.0,1200.0,3758.71,2306.8288999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-05,56330.90441666667,0.0,0.0,187.78939666666645,27728.613113333333,41852.104452145,631.1884308866664,42483.29288303167,6000.0,6000.0,943.0500000000002,1201.0996000000005
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-05,48401.842521275714,14408.446164609053,11670.841393333332,497.6943799999989,17371.85143,29179.655078133517,1345.1133622349976,30524.768440368516,1200.0,1200.0,943.0500000000002,1201.0996000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-06,56854.22939666666,0.0,0.0,25229.478903333336,2289.7262,42178.283575531,112765.68069114501,154943.96426667602,6000.0,6000.0,3899.8132000000005,1790.4750000000004
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-06,48935.27803930041,14461.659522633747,11713.944213333332,33635.53297,29.113600000000133,29558.103859869538,142689.0505910117,172247.15445088124,1200.0,1200.0,3899.8132000000005,1790.4750000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-07,94493.30823666666,0.0,0.0,84.55160333333345,21168.37674,74963.173756297,259.39222806000055,75222.56598435699,6000.0,6000.0,735.0,1438.8732
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-07,99003.61709,24833.333333333332,20114.999999999996,84.55160333333345,20960.35226,63834.96975068167,259.39222806000055,64094.36197874167,1200.0,1200.0,735.0,1438.8732
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-08,88191.66667333333,0.0,0.0,802.6491400000001,13422.928313333334,68954.302643918,3613.2477494399996,72567.55039335799,6000.0,6000.0,575.7799999999997,1056.575100000001
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-08,91780.85005666668,22333.333333333332,18090.0,802.64914,12768.778363333335,58035.865881923004,3613.247749439999,61649.113631363005,1200.0,1200.0,575.7799999999997,1056.575100000001
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-09,91909.04134000001,0.0,0.0,27.275313333333827,17877.59185333333,72684.34396535534,117.024234410002,72801.36819976533,6000.0,6000.0,663.2569000000003,1356.3774999999996
