template_date,baseline,predictor,status,termination_condition,solver_invoked,mip_gap,runtime_seconds,level_bound_hit_count
2025-05-07,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.019754099999772734,0
2025-05-08,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.01914550000037707,0
2025-05-09,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.02671809999992547,0
2025-05-10,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,1.3260951035370148e-16,0.05928700000004028,0
2025-05-11,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.023658500000237837,0
2025-05-12,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.019383799999559415,0
2025-05-13,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.02792589999990014,0
2025-05-14,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.017610900000363472,0
2025-05-15,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.03314250000039465,0
2025-05-16,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.022423100001105922,0
2025-05-17,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.024052799999481067,0
2025-05-18,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.01893240000026708,0
2025-05-19,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.020658200000980287,0
2025-05-20,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.05628740000065591,0
2025-05-21,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.021474400000442984,0
2025-05-22,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.06834329999946931,0
2025-05-23,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.03902860000016517,0
2025-05-24,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.024539500000173575,0
2025-05-25,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.032765500000095926,0
2025-05-26,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.038828700000522076,0
2025-05-27,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.02362100000027567,0
2025-05-28,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.028344800000922987,0
2025-05-29,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.01965620000009949,0
2025-05-30,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.022649599999567727,0
2025-05-31,Q4_2_PRICE_BASELINE_P0,P0_RECENT_SAME_CLOCK,OPTIMAL,Optimal,True,0.0,0.029364399999394664,0
