period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-14,65685.91723333333,0.0,0.0,2897.034583333336,7809.122716666665,51726.00910730666,12018.039532291677,63744.04863959833,6000.0,6000.0,412.82000000000016,926.7114999999994
formal_output,B1_WEEKDAY_MILP_R0,2025-10-14,60779.28630041152,21434.03263374485,17361.56643333333,5112.780600000002,1045.771599999998,37163.76448520993,19808.430492975007,56972.19497818494,1200.0,1200.0,412.82000000000016,926.7114999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-15,67455.12758333333,0.0,0.0,1135.3354333333348,6670.439216666664,53352.61315113166,4393.279327833337,57745.892478965005,6000.0,6000.0,382.0500000000002,935.8037000000004
formal_output,B1_WEEKDAY_MILP_R0,2025-10-15,64202.15959156379,21418.40600823045,17348.908866666665,3274.816883333334,1487.4555333333296,39428.24654423876,11970.892874941668,51399.13941918043,1200.0,1200.0,382.0500000000002,935.8037000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-16,67408.61405,0.0,0.0,2673.930216666669,7116.071566666666,53476.20710165333,10665.718026600009,64141.92512825334,6000.0,6000.0,440.09169999999995,976.2931000000003
formal_output,B1_WEEKDAY_MILP_R0,2025-10-16,66158.10370596708,21829.32152263374,17681.750433333335,2822.659283333335,1866.7191999999986,40417.53492939661,11222.22619018334,51639.76111957995,1200.0,1200.0,440.09169999999995,976.2931000000003
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-17,39345.55658333334,0.0,0.0,688.8746666666677,24030.232750000003,29111.540234306667,2764.1507155583367,31875.690949865006,6000.0,6000.0,399.0315999999998,771.6394000000005
formal_output,B1_WEEKDAY_MILP_R0,2025-10-17,31742.9927537037,16126.857037037036,13062.7542,782.6514166666668,13457.342833333332,16551.985552884813,3014.2076060166673,19566.19315890148,1200.0,1200.0,399.0315999999998,771.6394000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-18,38748.629499999995,0.0,0.0,1157.1451166666673,23829.181416666666,28821.671339909997,3680.253768358335,32501.925108268333,6000.0,6000.0,418.8399999999997,418.9438
formal_output,B1_WEEKDAY_MILP_R0,2025-10-18,31101.303191152256,15891.265041152263,12871.924683333333,1886.2072500000013,13891.576883333331,16224.35049720405,6419.3765809833385,22643.72707818739,1200.0,1200.0,418.8399999999997,418.9438
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-19,67874.54403333332,0.0,0.0,2713.194883333336,6702.015016666666,53661.38253371,11229.504029116677,64890.88656282668,6000.0,6000.0,373.5100000000002,887.6782000000012
