period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-07,38276.862799999995,0.0,0.0,25179.346000000005,8495.2248,28571.872093291666,107599.77771429167,136171.64980758334,6000.0,6000.0,3861.6113,1697.5589
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-07,30243.07481790123,13857.2562345679,11224.377550000001,33596.295000000006,6245.507133333333,16346.001319382032,144456.75492645835,160802.75624584037,1200.0,1200.0,3861.6113,1697.5589
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-08,63445.603599999995,0.0,0.0,3724.151316666668,7774.184716666665,50087.29262889332,14420.879935050005,64508.17256394333,6000.0,6000.0,547.6800000000003,1656.1875
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-08,58846.763654115224,20507.28967078189,16610.90463333333,5958.140633333334,1512.9490499999984,36345.72363160829,24338.928830808338,60684.652462416634,1200.0,1200.0,547.6800000000003,1656.1875
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-09,65956.58488333333,0.0,0.0,1261.008266666668,14114.758849999997,51869.80428883666,5051.811150275005,56921.615439111665,6000.0,6000.0,399.90419999999995,1686.0551000000005
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-09,63142.96219963374,19995.163155967075,16196.082156333332,1264.4815000000012,7505.528399999997,39121.28486044987,5060.120861025005,44181.405721474875,1200.0,1200.0,399.90419999999995,1686.0551000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-10,65110.65798333333,0.0,0.0,3493.274050000001,7287.933133333332,51213.61749735166,15654.796340208337,66868.41383756,6000.0,6000.0,646.6700000000001,2142.5200999999997
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-10,58256.14031152263,20063.94207818929,16251.793083333332,8598.00661666666,1725.9990333333326,36868.1711446471,34407.16718621664,71275.33833086374,1200.0,1200.0,646.6700000000001,2142.5200999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-11,67010.95706666666,0.0,0.0,1354.041366666669,14868.91223333333,53071.08034225167,5572.777657583343,58643.85799983501,6000.0,6000.0,994.0200000000004,2542.174500000001
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-11,65465.69183806584,21766.253621399177,17630.66543333333,1354.041366666669,9188.058816666666,40085.297026565124,5572.777657583343,45658.074684148465,1200.0,1200.0,994.0200000000004,2542.174500000001
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-12,65182.8911,0.0,0.0,0.0,53631.23449999999,51577.39905824333,0.0,51577.39905824333,6000.0,6000.0,3794.1389999999997,1203.2020000000011
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-12,58528.460786214,21117.033436213995,17104.79708333333,0.0,42964.567833333334,36713.258254020184,0.0,36713.258254020184,1200.0,1200.0,3794.1389999999997,1203.2020000000011
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-13,39337.50616666666,0.0,0.0,1259.4105000000009,32589.814266666668,29391.086500246667,4823.913238100004,34214.99973834667,6000.0,6000.0,701.8600000000001,1658.1508000000013
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-13,31400.666482098764,14367.510432098765,11637.68345,1763.9886166666672,22427.725716666668,17038.669403056047,7265.435662650003,24304.105065706048,1200.0,1200.0,701.8600000000001,1658.1508000000013
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-14,39064.765583333334,0.0,0.0,27392.60741666667,6358.0486,29326.926640109996,116601.30010485002,145928.22674496,6000.0,6000.0,3693.4469000000004,1939.8375000000005
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-14,31101.5137563786,14228.499156378602,11525.084316666664,36021.72135,4320.495866666664,17012.281883389303,153828.26643196668,170840.548315356,1200.0,1200.0,3693.4469000000004,1939.8375000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-15,66428.69356666665,0.0,0.0,2004.2748833333358,13365.937949999998,52634.9234602,7827.51018322501,60462.43364342501,6000.0,6000.0,736.9799999999996,1681.9475000000002
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-15,64076.391852263376,21082.879485596706,17077.132383333334,2039.2174000000032,7042.831649999998,39473.45415138105,8017.278199941679,47490.732351322724,1200.0,1200.0,736.9799999999996,1681.9475000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-16,66495.84795,0.0,0.0,1949.434583333336,8953.512933333333,52599.04138903,7004.26252492501,59603.30391395501,6000.0,6000.0,545.6600000000003,1912.0500000000002
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-16,59910.19958703704,21479.043703703705,17398.0254,5905.163383333336,2242.575066666666,37556.569852494446,18979.173642600006,56535.74349509445,1200.0,1200.0,545.6600000000003,1912.0500000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-17,66897.1171,0.0,0.0,2226.4915333333347,9163.49023333333,52731.330674405,10084.217210958339,62815.54788536334,6000.0,6000.0,478.3199999999997,1339.6560000000009
