run_id,question_id,model_id,baseline_id,split,period,metric,value,unit,direction,sample_count,status,notes
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.MAE,639.8671016865079,kW,min,4032,POSTHOC_EVALUATION_ONLY,mean(abs(predicted-actual))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.RMSE,1124.7406129383608,kW,min,4032,POSTHOC_EVALUATION_ONLY,sqrt(mean((predicted-actual)^2))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.nMAE,0.1416608970349203,ratio,min,4032,POSTHOC_EVALUATION_ONLY,MAE / mean(actual_load)
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.bias,7.046059573412708,kW,min,4032,POSTHOC_EVALUATION_ONLY,mean(predicted-actual)
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.max_absolute_error,3858.5527,kW,min,4032,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.error_p50,169.5879,kW,min,4032,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.error_p90,2503.52565,kW,min,4032,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.error_p95,2776.059999999999,kW,min,4032,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.error_p99,3459.9317780000006,kW,min,4032,POSTHOC_EVALUATION_ONLY,error=predicted-actual; percentiles use absolute error
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.sample_count,4032.0,count,descriptive,4032,POSTHOC_EVALUATION_ONLY,finite actual/predicted pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.valid_coverage,1.0,ratio,descriptive,4032,POSTHOC_EVALUATION_ONLY,finite pairs / requested pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.peak_threshold_p90,6590.1915,kW,descriptive,4032,POSTHOC_EVALUATION_ONLY,global formal-output actual-load 90th percentile; posthoc only
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.peak_MAE,684.365679661017,kW,min,4032,POSTHOC_EVALUATION_ONLY,MAE where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.peak_max_absolute_error,3814.0400000000004,kW,min,4032,POSTHOC_EVALUATION_ONLY,max absolute error where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,load.peak_sample_count,472.0,count,descriptive,4032,POSTHOC_EVALUATION_ONLY,samples where actual_load >= global formal p90
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.all_day_MAE,132.08102217261904,kW,min,4032,POSTHOC_EVALUATION_ONLY,mean(abs(predicted-actual)) over all intervals
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.all_day_RMSE,274.8497756430713,kW,min,4032,POSTHOC_EVALUATION_ONLY,RMSE over all intervals
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.bias,-16.141246230158732,kW,min,4032,POSTHOC_EVALUATION_ONLY,mean(predicted-actual)
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.max_absolute_error,1610.7750000000005,kW,min,4032,POSTHOC_EVALUATION_ONLY,max(abs(predicted-actual))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.sample_count,4032.0,count,descriptive,4032,POSTHOC_EVALUATION_ONLY,finite actual/predicted pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.valid_coverage,1.0,ratio,descriptive,4032,POSTHOC_EVALUATION_ONLY,finite pairs / requested pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.daylight_MAE,261.5658873280943,kW,min,4032,POSTHOC_EVALUATION_ONLY,MAE where actual_pv_kw > 0
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.daylight_RMSE,386.78245043402774,kW,min,4032,POSTHOC_EVALUATION_ONLY,RMSE where actual_pv_kw > 0
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.daylight_sample_count,2036.0,count,descriptive,4032,POSTHOC_EVALUATION_ONLY,samples where actual_pv_kw > 0
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.ramp_MAE,49.68233886113887,kW/10min,min,4032,POSTHOC_EVALUATION_ONLY,mean(abs(predicted_ramp-actual_ramp)); adjacent physical intervals within the same natural day only
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-02,pv.ramp_sample_count,4004.0,count,descriptive,4032,POSTHOC_EVALUATION_ONLY,within-natural-day adjacent physical interval pairs
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.MAE,646.9658530913979,kW,min,4464,POSTHOC_EVALUATION_ONLY,mean(abs(predicted-actual))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.RMSE,1135.595981506023,kW,min,4464,POSTHOC_EVALUATION_ONLY,sqrt(mean((predicted-actual)^2))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,month:2025-03,load.nMAE,0.14853927339176604,ratio,min,4464,POSTHOC_EVALUATION_ONLY,MAE / mean(actual_load)
