experiment,track,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan
weekday_buffer,B1,2025-02,2009115.177158959,631785.0746382304,511745.91045696667,20859.151910000008,196055.4880876954,1221987.6132306997,79168.03249677837,1301155.645727478,880629.724672297,711560.7624892482,313547.87039371155
weekday_buffer,B1,2025-03,1886664.9751642393,635581.7539521401,514821.22070123337,35948.09371333334,275534.86822666664,1124808.8599002892,136927.54672682,1261736.4066271093,904872.2678204393,771311.2260777032,319894.65838149836
weekday_buffer,B1,2025-04,1639885.1457757722,574866.1959602056,465641.6187277667,35926.09595000002,348857.0605933332,954889.9751229039,140050.6162443267,1094940.59136723,741709.4439308796,642964.0353977095,293945.99298384186
weekday_buffer,B1,2025-05,1650502.3454519024,548513.6703258023,444296.0729638999,41484.01921333334,400958.29420333327,979307.1263886652,170033.19191299006,1149340.3183016554,723458.2114885183,601038.2316118015,313311.12241836626
weekday_buffer,B1,2025-06,2159981.4159125653,624094.5563418517,505516.5906368999,55739.73952333335,347150.01783094654,1339952.411314489,213729.65944166505,1553682.0707561541,828192.8211382244,722371.5038583801,300831.1370571859
weekday_buffer,B1,2025-07,2410209.772995163,623828.2447536213,505300.87825043325,63786.728886666664,410649.86687864206,1512360.8741872055,241337.3696417267,1753698.2438289325,708925.3867116927,551076.492415874,319031.4523557679
weekday_buffer,B1,2025-08,2056212.734152048,581176.8485195473,470753.2473008332,38167.704313333335,399843.9672466666,1285175.7616750903,150781.98564251504,1435957.7473176052,889330.3824651297,764843.3110360274,324560.0464786543
weekday_buffer,B1,2025-09,1871215.384475477,597359.7151527159,483861.36927369994,32635.27298,401968.4405764608,1153685.3468368626,127661.9670623067,1281347.3138991692,757166.124964963,586185.9401365806,334032.7673078736
weekday_buffer,B1,2025-10,1896194.6282785067,642252.8547114402,520224.8123162667,19593.817533333353,318626.8102166666,1146734.4564299013,74492.15880065675,1221226.6152305577,881703.6572704156,667721.6284990945,368984.83493060584
weekday_buffer,B1,2025-11,2079287.7870588736,668399.4330427573,541403.5407646333,20553.61778000002,184873.10526074973,1275233.5750829708,78495.33575677841,1353728.910839749,1051305.0396195576,891080.9372194656,342028.2288035077
weekday_buffer,B1,2025-12,2689385.2241004934,754675.1724938268,611286.8897200001,33984.96927000003,215944.97459666664,1680787.2714767335,124445.55533846011,1805232.826815193,987981.2435370021,713072.7469727434,345322.96136780584
