template_date,decision_time,plan_version,start_slot,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-02-26,2025-02-26 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.019872500008204952,47928.914971656246,,,
2025-02-26,2025-02-26 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04247019998729229,35185.82406981296,655,764,109
2025-02-26,2025-02-26 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016732699994463474,29357.53393177723,439,512,73
2025-02-26,2025-02-26 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009162300004391,13207.634357787334,223,260,37
2025-02-26,2025-02-27 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002562000008765608,250.34184466666667,7,8,1
2025-02-27,2025-02-27 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02104930000496097,49758.966177874,,,
2025-02-27,2025-02-27 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0500000000174623,35340.25578160814,655,764,109
2025-02-27,2025-02-27 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01786240001092665,27472.047959092113,439,512,73
2025-02-27,2025-02-27 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016044000018155202,12614.342856711333,223,260,37
2025-02-27,2025-02-28 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002638000005390495,139.21380383333337,7,8,1
2025-02-28,2025-02-28 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0866325999959372,14367.466910025616,,,
2025-02-28,2025-02-28 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.11383529999875464,6391.645959256554,655,764,109
2025-02-28,2025-02-28 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.030105200014077127,6295.37305572842,439,512,73
