hypothesis,issue_hour,period,month,n,MAE_kw,RMSE_kw,bias_kw
H0_hour_start,6,noon_10_14,04,120,824.5658191666666,978.3262939781363,570.7000525
H0_hour_start,6,noon_10_14,05,124,776.1365854838709,938.3130768521972,302.0705225806452
H0_hour_start,6,noon_10_14,06,120,724.2916216666667,897.3661513105413,375.3593883333333
H0_hour_start,6,noon_10_14,07,124,830.4827177419355,1009.1338456012776,522.4261338709679
H0_hour_start,6,noon_10_14,08,124,939.5847467741935,1091.7301697361925,584.3901209677418
H0_hour_start,6,noon_10_14,09,120,931.9266016666667,1111.465214018253,577.8565333333333
H0_hour_start,6,noon_10_14,10,124,1064.0506233870972,1262.7358633706442,791.7742879032259
H0_hour_start,6,noon_10_14,11,120,850.3510683333333,1024.9294071394938,566.147515
H0_hour_start,6,noon_10_14,12,124,832.5488298387098,961.8008817288884,519.0152153225806
H0_hour_start,6,noon_10_14,ALL,1460,857.1231470547945,1025.9854331098288,554.2017925342465
H0_hour_start,12,ALL,01,732,535.9851945355192,900.1336719318066,-19.32155928961748
H0_hour_start,12,ALL,02,672,620.2749044642857,1008.6672113960531,-24.778205059523803
H0_hour_start,12,ALL,03,744,710.6322340053764,1121.6630646203093,-42.89814180107525
H0_hour_start,12,ALL,04,720,802.2867536111111,1197.114676418567,-32.39738583333335
H0_hour_start,12,ALL,05,744,788.7700353494622,1172.951258255153,-121.13171653225808
H0_hour_start,12,ALL,06,720,709.5872041666667,1062.5855638470236,33.54662555555556
H0_hour_start,12,ALL,07,744,749.1539991935483,1104.2603474337748,-69.11760268817204
H0_hour_start,12,ALL,08,744,816.847452688172,1217.4276200694906,-84.67321155913977
H0_hour_start,12,ALL,09,720,827.8233704166668,1276.1581526373523,0.1417887500000082
H0_hour_start,12,ALL,10,744,754.6033009408603,1194.4066790412478,-26.641383736559142
H0_hour_start,12,ALL,11,720,643.7133934722223,1066.9167721203748,-10.747603472222222
H0_hour_start,12,ALL,12,744,524.1390954301074,904.0704231487787,-40.71143010752688
H0_hour_start,12,ALL,ALL,8748,707.5064391060813,1108.6807098061058,-37.05671503200731
